id,cgpa,tenth_percentage,twelfth_percentage,backlog_history_count,programming_score,sql_score,dsa_score,web_dev_score,git_score,cloud_score,aptitude_score,logical_score,coding_score,communication_score,interview_score,presentation_score,verified_project_count,project_complexity_score,verified_internship_count,verified_certification_count,open_source_score,hackathon_score,leadership_score,placed
0,6.46,79.2,75.2,0,79,74,76,79,72,69,70,78,69,56,56,42,0,0,1,1,0,28,0,1
1,8.03,80.8,86.0,2,62,46,62,53,50,43,63,63,54,83,64,71,3,72,1,1,73,62,0,1
2,7.38,79.7,75.4,1,64,70,75,54,54,52,72,79,69,67,57,53,1,67,0,3,19,0,0,0
3,7.85,74.5,78.3,1,75,64,66,68,62,47,77,73,60,66,57,60,0,0,0,2,0,27,0,1
4,6.73,81.0,74.4,0,70,61,71,62,70,51,78,76,76,76,67,63,0,0,0,1,38,55,0,1
5,7.12,85.1,79.9,0,43,39,43,41,46,47,49,52,44,55,54,68,0,0,0,2,0,0,0,0
6,6.0,74.3,64.2,1,76,67,79,56,57,58,50,57,76,67,68,54,0,0,0,2,10,0,19,0
7,7.64,83.1,83.8,0,66,65,65,54,72,42,57,53,69,64,60,64,0,0,1,0,44,42,59,1
8,6.93,79.4,76.4,0,65,46,77,61,65,72,67,83,77,56,57,42,1,72,1,0,30,41,10,1
9,8.1,78.5,76.9,1,50,41,55,51,48,29,75,60,53,60,57,57,0,0,1,2,30,0,0,1
10,6.97,82.6,63.6,0,53,51,57,46,61,37,63,58,58,62,54,55,0,0,0,1,0,0,0,1
11,7.81,84.4,86.4,0,68,62,72,65,65,61,66,62,83,57,62,43,0,0,1,0,0,0,0,1
12,6.52,77.4,75.3,1,72,61,76,52,60,65,81,73,74,68,66,60,0,0,2,0,23,0,48,1
13,7.01,80.2,79.9,1,74,69,71,56,63,41,59,65,66,59,61,56,0,0,0,1,24,0,0,0
14,7.55,81.9,71.9,2,70,59,57,57,56,42,55,56,68,58,56,62,0,0,1,2,74,38,46,1
15,7.55,76.3,79.3,1,53,48,57,51,51,48,53,58,52,56,47,48,3,33,0,2,0,0,17,0
16,8.64,84.3,83.5,1,60,55,48,58,59,50,61,54,56,62,54,59,0,0,2,2,74,43,0,1
17,6.5,68.8,68.4,0,43,32,44,46,55,39,62,53,50,62,56,69,0,0,0,0,0,0,0,0
18,7.37,75.5,81.3,3,84,74,70,83,78,72,66,72,82,61,62,67,3,64,1,0,0,40,0,1
19,6.88,79.3,83.9,0,60,51,64,61,65,51,72,72,65,57,53,69,0,0,0,0,0,0,39,1
20,8.35,91.4,75.3,0,64,53,59,52,63,54,67,69,54,62,56,49,0,0,1,0,13,0,12,1
21,7.74,78.8,82.4,0,80,68,80,71,77,72,70,75,70,64,60,57,1,82,0,0,71,48,35,1
22,7.18,84.0,74.9,1,78,70,74,72,80,65,64,69,78,42,43,45,3,80,1,1,0,45,0,1
23,7.65,85.2,76.9,0,59,46,64,59,53,46,65,59,60,79,70,74,0,0,1,3,0,0,0,1
24,7.11,87.5,83.5,1,65,62,67,59,66,59,74,71,71,70,60,62,0,0,0,3,0,0,0,1
25,7.4,78.9,70.8,0,55,43,59,46,51,43,69,63,66,59,60,70,0,0,1,1,0,0,0,1
26,8.04,84.3,80.8,3,56,45,47,57,56,42,55,56,54,62,70,57,0,0,0,0,0,31,0,1
27,8.49,93.0,93.7,0,57,51,65,46,50,28,63,65,57,62,55,54,0,0,0,0,0,0,45,0
28,6.85,80.4,68.7,0,63,60,57,48,59,51,69,64,75,67,61,58,0,0,1,0,0,0,0,1
29,7.2,79.5,82.2,1,66,61,59,69,70,39,63,59,63,77,68,71,0,0,1,3,53,88,0,1
30,7.85,88.3,74.8,3,67,60,59,55,69,57,69,60,64,53,62,51,0,0,0,0,0,47,0,1
31,7.53,72.9,80.0,2,70,66,72,61,66,55,76,72,65,44,61,55,1,55,0,1,33,0,0,1
32,8.18,93.9,83.8,1,66,56,57,60,53,44,68,63,56,66,61,54,0,0,1,3,0,39,0,0
33,6.63,77.8,74.3,0,64,50,59,60,58,57,58,55,52,67,63,62,2,70,0,0,90,74,0,1
34,8.11,77.7,80.1,0,74,57,60,66,57,52,67,73,81,47,63,39,0,0,1,1,0,56,0,1
